99;94
43;91
51;67
88;100
6;54
90;6
62;92
51;62
44;75
38;82
64;86
44;30
43;26
55;87
59;26
76;80
85;15
36;74
31;53
38;71
97;75
36;60
62;78
57;41
44;99
78;72
46;90
46;98
61;18
3;19
54;77
75;73
56;89
96;6
83;41
31;63
20;46
82;53
90;71
3;66
45;85
9;78
58;74
68;20
20;72
15;92
12;4
83;62
23;45
48;41
5;15
30;67
72;21
24;23
36;32
59;77
4;12
95;9
4;40
28;46
18;48
93;87
80;51
21;0
44;78
48;2
16;34
36;63
100;13
45;61
12;38
26;98
90;83
66;29
5;96
33;33
83;73
76;9
42;34
97;12
19;73
6;56
86;87
46;35
74;54
87;40
21;72
54;73
24;0
37;26
90;27
71;86
98;58
78;89
79;60
84;24
30;80
36;52
35;26
98;53
0;45
72;27
64;90
97;75
14;38
38;22
84;64
92;56
88;11
76;67
75;0
32;54
98;10
11;62
95;43
77;98
98;66
96;36
61;24
72;59
34;30
33;21
16;32
25;8
11;83
93;64
84;50
3;73
15;28
32;99
6;37
19;5
51;21
34;37
91;17
46;29
8;4
83;60
66;18
32;69
73;93
20;72
53;45
5;83
20;13
4;8
82;63
63;78
16;47
92;52
41;23
44;38
63;90
91;25
89;13
33;93
61;98
63;44
51;38
23;95
36;4
94;54
34;59
55;10
95;56
100;26
95;57
3;89
61;5
59;23
34;48
69;65
85;3
44;12
43;66
31;23
72;38
81;76
89;67
57;21
15;68
81;15
38;35
66;87
16;79
73;65
6;61
53;33
17;88
93;97
35;86
13;19
30;91
90;78
73;47
86;57
32;0
99;74
82;35
39;71
81;12
35;45
17;13
98;95
96;1
97;62
86;42
12;50
85;21
68;43
96;78
73;71
5;85
72;59
75;44
1;63
39;38
53;38
45;97
25;79
84;34
85;87
36;52
30;45
83;49
72;77
66;60
36;34
35;89
16;37
76;77
5;13
75;46
28;62
40;89
32;7
17;52
5;24
2;70
31;27
81;91
66;67
17;90
62;40
0;67
47;55
49;89
18;57
92;99
8;9
86;82
21;13
35;95
42;5
59;66
92;83
54;35
71;78
0;67
47;93
64;79
46;17
29;30
28;14
31;21
75;90
45;57
66;61
65;50
65;43
37;61
86;13
72;80
4;40
46;93
69;51
56;98
7;25
26;5
65;29
49;85
19;39
29;73
52;59
0;73
64;36
94;63
26;95
64;10
52;13
65;93
49;27
55;74
41;34
52;91
34;33
80;22
8;99
62;52
70;58
97;137
102;117
130;132
94;122
132;141
150;149
135;123
117;139
142;103
137;126
142;99
139;118
103;149
90;90
111;136
102;102
122;140
98;129
111;98
138;111
109;104
118;107
97;91
142;133
106;97
120;91
121;98
147;134
119;141
136;101
135;121
93;141
141;99
138;90
119;147
98;116
136;90
107;122
149;125
136;136
113;105
111;145
99;107
124;120
142;141
136;140
98;140
112;132
107;117
143;135
119;97
124;108
117;115
119;101
97;95
118;142
96;139
135;132
108;122
98;126
102;146
102;124
102;109
145;148
106;116
102;129
95;132
101;112
93;147
129;121
91;136
130;111
108;107
127;94
146;143
122;136
119;115
135;110
143;134
150;91
94;102
124;118
106;141
137;130
99;106
143;108
138;133
149;94
124;110
113;93
141;107
93;125
126;120
130;139
141;148
92;123
132;129
90;136
123;138
92;124
47;151
6;154
142;152
36;150
11;176
64;160
23;178
28;179
135;150
100;159
34;172
30;161
79;164
39;176
39;156
143;180
104;171
130;151
123;166
122;168
103;176
72;180
0;161
127;154
108;180
96;163
33;170
63;150
119;159
147;159
44;155
60;168
39;175
90;169
143;150
103;170
81;165
22;179
87;169
12;167
29;167
97;159
135;155
87;180
99;170
66;161
73;162
135;177
40;176
82;169
106;172
53;165
74;154
106;161
149;154
51;154
113;153
142;164
144;179
34;152
14;150
86;168
115;178
6;175
122;153
98;162
33;157
84;179
74;153
89;159
69;174
19;179
85;176
17;162
52;173
148;169
61;164
121;159
107;172
104;150
99;152
50;155
77;173
148;165
116;152
31;164
91;166
52;159
7;153
109;163
12;152
125;165
149;163
30;155
136;152
63;180
57;162
4;153
100;169
70;170
